"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-06","10.74","0.55","0.0",,"54","34","    1",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-07","12.08","0.10","0.2",,"49","34","    1",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-08","9.84","0.00","0.0",,"56","31",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-09","11.86","0.00","0.0",,"66","35",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-10","18.12","0.00","0.0",,"68","52",,,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-11","16.55","0.02","0.0",,"64","44",,,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-12","12.97","0.00","0.0",,"52","37",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-13","7.83","0.00","0.0",,"55","32",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-14","11.18","0.33","0.0",,"66","41","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-15","5.82","0.75","0.0",,"69","53","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-16","8.50","0.00","0.0",,"70","48",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-17","14.32","0.12","0.0",,"73","42",,,,,,,,,,,,,,,"    1",,,,,
